date,btc_entry,btc_exit,btc_move_pct,strike,prem_entry,prem_exit,pnl_usd,cost_usd,cum_pnl
2026-01-18,95142.5,95405.5,0.276,95200,716.9057,616.5137,-100.39,716.91,-100.39
2026-01-19,93145.5,93032.5,-0.121,93200,701.7613,595.7176,-106.04,701.76,-206.44
2026-01-20,91194.5,89481.0,-1.879,91200,685.5791,1722.4447,1036.87,685.58,830.43
2026-01-21,88764.5,88465.0,-0.337,88800,668.0089,615.8809,-52.13,668.01,778.3
2026-01-22,89918.0,89304.5,-0.682,90000,679.4144,813.7506,134.34,679.41,912.64
2026-01-23,89179.5,90495.0,1.475,89200,670.6719,1312.8766,642.2,670.67,1554.84
2026-01-24,89557.0,89360.0,-0.22,89600,674.267,590.2885,-83.98,674.27,1470.86
2026-01-25,88534.0,87378.5,-1.305,88600,667.8697,1242.2858,574.42,667.87,2045.28
2026-01-26,87819.5,88370.0,0.627,87800,660.2819,727.3264,67.04,660.28,2112.32
2026-01-27,87955.5,88265.0,0.352,88000,662.3125,589.5319,-72.78,662.31,2039.54
2026-01-28,90045.0,89500.0,-0.605,90000,677.683,695.9314,18.25,677.68,2057.79
2026-01-29,87804.5,83446.5,-4.963,87800,660.0534,4353.5,3693.45,660.05,5751.24
2026-01-30,83112.5,83906.0,0.955,83200,629.0077,798.8762,169.87,629.01,5921.11
2026-01-31,82991.0,78004.0,-6.009,83000,623.9502,4996.0,4372.05,623.95,10293.16
2026-02-01,78720.5,77992.5,-0.925,78800,595.4617,861.1037,265.64,595.46,10558.8
2026-02-02,77724.5,78531.0,1.038,77800,587.6659,799.9179,212.25,587.67,10771.05
2026-02-03,78050.5,73115.0,-6.323,78000,587.9261,4885.0,4297.07,587.93,15068.13
2026-02-04,76002.5,73406.0,-3.416,76000,571.3347,2594.0011,2022.67,571.33,17090.79
2026-02-05,70291.0,66318.5,-5.652,70200,533.0424,3881.5,3348.46,533.04,20439.25
2026-02-06,66588.5,69735.0,4.725,66600,500.6981,3135.0,2634.3,500.7,23073.55
2026-02-07,67939.5,69481.5,2.27,68000,513.2299,1482.4372,969.21,513.23,24042.76
2026-02-08,70961.5,71110.0,0.209,71000,534.4711,451.5573,-82.91,534.47,23959.85
2026-02-09,68907.0,70373.0,2.128,69000,523.6483,1375.0364,851.39,523.65,24811.23
2026-02-10,68498.5,68867.0,0.538,68400,520.5457,580.5379,59.99,520.55,24871.23
2026-02-11,67028.5,67240.0,0.316,67000,504.2831,461.4385,-42.84,504.28,24828.38
2026-02-12,68038.0,65571.5,-3.625,68000,512.2212,2428.5003,1916.28,512.22,26744.66
2026-02-13,67137.0,69100.0,2.924,67200,507.4281,1900.0471,1392.62,507.43,28137.28
2026-02-14,70469.5,69748.5,-1.023,70400,532.3826,714.1751,181.79,532.38,28319.07
2026-02-15,70275.5,68415.0,-2.647,70200,531.4332,1785.1392,1253.71,531.43,29572.78
2026-02-16,68794.5,67839.0,-1.389,68800,517.194,976.214,459.02,517.19,30031.8
2026-02-17,67830.5,68069.5,0.352,67800,510.372,476.8955,-33.48,510.37,29998.32
2026-02-18,67352.5,66334.5,-1.511,67400,507.9076,1073.4679,565.56,507.91,30563.88
2026-02-19,66476.0,67010.5,0.804,66400,503.1131,672.4618,169.35,503.11,30733.23
2026-02-20,67297.5,67907.5,0.906,67200,511.5048,751.5449,240.04,511.5,30973.27
2026-02-21,68067.0,68553.5,0.715,68000,514.2218,636.1714,121.95,514.22,31095.22
2026-02-22,68190.5,67399.5,-1.16,68200,512.7056,830.7473,318.04,512.71,31413.26
2026-02-23,66178.0,64612.5,-2.366,66200,497.8763,1587.766,1089.89,497.88,32503.15
2026-02-24,63203.5,64402.0,1.896,63200,475.1203,1204.6172,729.5,475.12,33232.65
2026-02-25,65395.0,69300.5,5.972,65400,491.6344,3900.5,3408.87,491.63,36641.51
2026-02-26,68032.0,67276.0,-1.111,68000,511.9376,765.3621,253.42,511.94,36894.94
2026-02-27,66100.0,65287.0,-1.23,66000,502.9166,751.409,248.49,502.92,37143.43
2026-02-28,63818.5,65871.5,3.217,63800,479.9046,2071.5048,1591.6,479.9,38735.03
2026-03-01,66443.5,66294.5,-0.224,66400,500.5209,422.0832,-78.44,500.52,38656.59
2026-03-02,66330.5,68860.0,3.813,66400,501.9683,2460.0003,1958.03,501.97,40614.63
2026-03-03,67011.0,68596.5,2.366,67000,503.782,1596.8844,1093.1,503.78,41707.73
2026-03-04,71090.0,73659.0,3.614,71000,538.889,2659.0003,2120.11,538.89,43827.84
2026-03-05,72887.5,70972.0,-2.628,72800,552.035,1828.1691,1276.13,552.03,45103.97
2026-03-06,70193.5,68155.5,-2.903,70200,527.7214,2044.5197,1516.8,527.72,46620.77
2026-03-07,67982.0,67537.0,-0.655,68000,511.3151,574.3852,63.07,511.32,46683.84
2026-03-08,67496.5,66784.0,-1.056,67400,512.8656,677.8494,164.98,512.87,46848.82
2026-03-09,67730.5,68334.5,0.892,67800,512.4291,622.2304,109.8,512.43,46958.63
2026-03-10,70572.5,69984.0,-0.834,70600,531.0757,688.1679,157.09,531.08,47115.72
2026-03-11,69150.0,70589.0,2.081,69200,521.5416,1390.9079,869.37,521.54,47985.08
2026-03-12,70405.0,69788.5,-0.876,70400,529.2578,684.1927,154.93,529.26,48140.02
2026-03-13,72196.5,71028.0,-1.618,72200,542.7495,1179.3384,636.59,542.75,48776.61
2026-03-14,70712.5,70631.5,-0.115,70800,536.4733,461.1215,-75.35,536.47,48701.26
2026-03-15,71808.0,71353.5,-0.633,71800,539.8158,581.278,41.46,539.82,48742.72
2026-03-16,73515.0,73891.0,0.511,73600,557.1099,517.0853,-40.02,557.11,48702.69
2026-03-17,74004.0,74640.0,0.859,74000,556.3109,719.3103,163.0,556.31,48865.69
2026-03-18,72905.5,71074.0,-2.512,73000,553.585,1926.0892,1372.5,553.58,50238.2
2026-03-19,69934.0,69793.5,-0.201,70000,528.5993,466.46,-62.14,528.6,50176.06
2026-03-20,70447.0,69740.0,-1.004,70400,530.7253,720.6991,189.97,530.73,50366.03
2026-03-21,70628.0,70365.5,-0.372,70600,531.3008,478.5749,-52.73,531.3,50313.31
2026-03-22,68183.0,68587.5,0.593,68200,512.8001,533.752,20.95,512.8,50334.26
2026-03-23,70105.0,71057.0,1.358,70200,532.7974,885.6107,352.81,532.8,50687.07
2026-03-24,71124.0,69403.0,-2.42,71200,538.3815,1797.1551,1258.77,538.38,51945.85
2026-03-25,71657.0,70793.5,-1.205,71600,540.3752,842.995,302.62,540.38,52248.47
2026-03-26,69248.0,68463.0,-1.134,69200,521.7892,779.0537,257.26,521.79,52505.73
2026-03-27,66670.0,65810.0,-1.29,66600,504.0279,818.4643,314.44,504.03,52820.17
2026-03-28,66294.5,66878.5,0.881,66200,503.6994,725.2987,221.6,503.7,53041.77
2026-03-29,66788.0,66404.0,-0.575,66800,502.2068,529.8893,27.68,502.21,53069.45
2026-03-30,67661.5,66627.0,-1.529,67600,510.7692,985.9889,475.22,510.77,53544.67
2026-03-31,66659.5,67820.0,1.741,66600,503.1263,1223.5862,720.46,503.13,54265.13
2026-04-01,68676.0,68060.5,-0.896,68600,519.5337,626.6494,107.12,519.53,54372.24
2026-04-02,66187.5,66949.0,1.151,66200,497.7031,783.8886,286.19,497.7,54658.43
2026-04-03,66990.5,66790.0,-0.299,67000,503.6857,450.1811,-53.5,503.69,54604.92
2026-04-04,67136.0,67272.0,0.203,67200,507.5042,423.0164,-84.49,507.5,54520.44
2026-04-05,66980.0,67388.5,0.61,67000,503.8411,528.5715,24.73,503.84,54545.17
2026-04-06,69587.0,69856.0,0.387,69600,523.2632,481.7525,-41.51,523.26,54503.66
2026-04-07,68319.0,68421.5,0.15,68400,517.9396,426.7542,-91.19,517.94,54412.47
2026-04-08,71657.5,71071.5,-0.818,71600,540.4108,630.8532,90.44,540.41,54502.91
2026-04-09,71116.5,71856.0,1.04,71200,539.0636,722.1137,183.05,539.06,54685.96
2026-04-10,72100.0,73063.5,1.336,72000,547.4898,1076.7969,529.31,547.49,55215.27
2026-04-11,72876.0,73523.0,0.888,72800,550.9018,779.0332,228.13,550.9,55443.4
2026-04-12,71442.0,71133.5,-0.432,71400,537.9419,494.153,-43.79,537.94,55399.61
2026-04-13,70890.5,72387.0,2.111,70800,537.4548,1587.7495,1050.29,537.45,56449.91
2026-04-14,74350.0,74040.0,-0.417,74400,560.5251,549.0323,-11.49,560.53,56438.41
2026-04-15,74172.0,74364.0,0.259,74200,558.1302,481.3724,-76.76,558.13,56361.66
2026-04-16,74535.0,75007.5,0.634,74600,562.9464,575.2411,12.29,562.95,56373.95
2026-04-17,75542.0,77117.0,2.085,75600,569.9767,1519.0894,949.11,569.98,57323.06
2026-04-18,76002.0,75603.5,-0.524,76000,571.3316,574.6043,3.27,571.33,57326.34
2026-04-19,75557.0,74739.5,-1.082,75600,569.1855,897.728,328.54,569.19,57654.88
2026-04-20,75149.0,76395.0,1.658,75200,566.5769,1204.5756,638.0,566.58,58292.88
2026-04-21,76410.0,75566.5,-1.104,76400,574.4208,876.629,302.21,574.42,58595.09
2026-04-22,78273.0,78995.0,0.922,78200,591.0117,851.5297,260.52,591.01,58855.6
2026-04-23,77650.0,77638.5,-0.015,77600,584.897,484.7804,-100.12,584.9,58755.49
2026-04-24,78200.0,77588.5,-0.782,78200,587.8602,711.9487,124.09,587.86,58879.58
2026-04-25,77639.0,77246.5,-0.506,77600,584.3226,562.7396,-21.58,584.32,58857.99
2026-04-26,78050.5,78239.0,0.242,78000,587.9261,523.7946,-64.13,587.93,58793.86
2026-04-27,77804.5,76784.5,-1.311,77800,584.8807,1038.5799,453.7,584.88,59247.56
2026-04-28,76198.5,76208.5,0.013,76200,572.821,475.0363,-97.78,572.82,59149.78
2026-04-29,77551.5,75470.5,-2.683,77600,584.4471,2129.5545,1545.11,584.45,60694.88
2026-04-30,76022.5,76309.0,0.377,76000,571.6863,537.3022,-34.38,571.69,60660.5
2026-05-01,77432.0,78392.0,1.24,77400,582.5237,1018.3329,435.81,582.52,61096.31
2026-05-02,78106.0,78432.5,0.418,78200,592.2827,522.9805,-69.3,592.28,61027.01
2026-05-03,78621.5,78706.5,0.108,78600,591.1948,497.5953,-93.6,591.19,60933.41
2026-05-04,78753.5,80081.5,1.686,78800,593.354,1290.3382,696.98,593.35,61630.39
2026-05-05,80973.0,81464.0,0.606,81000,609.186,635.9501,26.76,609.19,61657.16
2026-05-06,82485.0,81300.0,-1.437,82400,623.4548,1122.2512,498.8,623.45,62155.95
2026-05-07,80822.0,80161.5,-0.817,80800,607.7395,740.1927,132.45,607.74,62288.4
2026-05-08,80183.0,80034.5,-0.185,80200,602.982,516.7331,-86.25,602.98,62202.16
2026-05-09,80310.0,80870.0,0.697,80400,608.3184,636.3566,28.04,608.32,62230.19
2026-05-10,80783.0,81235.5,0.56,80800,607.4913,620.0338,12.54,607.49,62242.74
2026-05-11,81168.5,81823.0,0.806,81200,610.8086,733.5438,122.74,610.81,62365.47
2026-05-12,80744.0,80642.5,-0.126,80800,608.834,518.7523,-90.08,608.83,62275.39
