entry_time,exit_time,signal,entry_spot,exit_spot,strike,entry_premium,exit_premium,exit_reason,pnl_usd
2026-01-02 14:45,2026-01-02 23:45,bullish,89545.5,89960.5,88000,1721.5703,1960.5,EOD,238929.66
2026-01-03 02:15,2026-01-03 23:45,bullish,90230.0,90604.5,88000,2529.8369,2604.5,EOD,74663.09
2026-01-04 02:00,2026-01-04 23:45,bullish,91095.0,91506.0,89000,2435.7331,2506.0,EOD,70266.86
2026-01-05 02:00,2026-01-05 23:45,bullish,92831.5,93832.0,91000,2251.8828,2832.0,EOD,580117.19
2026-01-06 11:00,2026-01-06 16:30,bullish,93752.5,92525.0,92000,2003.1608,942.3362,SL,-1060824.59
2026-01-06 21:15,2026-01-06 23:45,bullish,93498.5,93717.0,91000,2500.1924,2717.0,EOD,216807.6
2026-01-07 12:00,2026-01-07 23:45,bearish,92009.0,91338.0,94000,2175.1683,2662.0,EOD,486831.74
2026-01-08 02:30,2026-01-08 23:45,bearish,90870.5,91070.5,93000,2470.115,1929.5,EOD,-540615.02
2026-01-09 07:45,2026-01-09 23:45,bearish,90721.0,90613.5,93000,2492.2453,2386.5,EOD,-105745.26
2026-01-10 04:15,2026-01-10 23:45,bearish,90503.0,90479.5,93000,2733.9135,2520.5,EOD,-213413.49
2026-01-11 19:30,2026-01-11 23:45,bearish,90753.5,90986.5,93000,2264.4199,2013.5,EOD,-250919.89
2026-01-12 07:45,2026-01-12 23:45,bearish,91378.0,91262.5,93000,1973.5292,1737.5,EOD,-236029.22
2026-01-13 02:30,2026-01-13 13:30,bearish,91095.0,92163.0,93000,2298.3584,1257.2555,Flip,-1041102.93
2026-01-13 13:30,2026-01-13 23:45,bullish,92163.0,95384.5,90000,2282.0863,5384.5,EOD,3102413.67
2026-01-14 02:00,2026-01-14 23:45,bullish,95446.5,96917.0,93000,2750.4876,3917.0,EOD,1166512.36
2026-01-15 07:45,2026-01-15 19:15,bullish,96602.5,95485.0,95000,1988.8451,808.2388,SL,-1180606.36
2026-01-16 06:30,2026-01-16 15:30,bullish,95669.0,94498.0,94000,2060.0168,979.6276,SL,-1080389.27
2026-01-16 20:45,2026-01-16 23:45,bullish,95527.5,95513.0,94000,1568.1197,1513.0,EOD,-55119.7
2026-01-17 11:45,2026-01-17 23:45,bullish,95294.0,95118.0,93000,2442.9823,2118.0,EOD,-324982.26
2026-01-18 05:30,2026-01-18 23:45,bullish,95160.0,93623.0,93000,2454.2152,625.0275,SL,-1829187.72
2026-01-19 02:00,2026-01-19 17:00,bearish,92384.0,93314.0,94000,2106.744,1034.9049,SL,-1071839.1
2026-01-19 21:45,2026-01-19 23:45,bearish,92977.5,92599.5,95000,2026.4627,2400.5,EOD,374037.28
2026-01-20 02:00,2026-01-20 23:45,bearish,92448.5,88400.0,94000,2061.0225,5600.0,EOD,3538977.53
2026-01-21 08:00,2026-01-21 19:45,bearish,89123.5,90330.0,91000,2147.9776,885.8551,SL,-1262122.47
2026-01-22 07:45,2026-01-22 23:45,bearish,89781.0,89528.0,92000,2436.119,2472.0,EOD,35881.03
2026-01-23 06:15,2026-01-23 17:15,bearish,89442.0,90954.0,91000,1943.271,627.7682,SL,-1315502.8
2026-01-23 20:30,2026-01-23 23:45,bearish,89384.5,89568.0,91000,1647.6693,1432.0,EOD,-215669.31
2026-01-24 07:15,2026-01-24 23:45,bearish,89577.0,89189.0,92000,2614.9811,2811.0,EOD,196018.95
2026-01-25 02:15,2026-01-25 23:45,bearish,89114.5,86641.5,91000,2269.9437,4358.5,EOD,2088556.32
2026-01-26 14:15,2026-01-26 23:45,bearish,87653.5,88310.0,90000,2424.0969,1690.0,EOD,-734096.91
2026-01-27 06:30,2026-01-27 20:00,bearish,88260.0,88720.0,90000,2065.5909,1355.972,Flip,-709618.81
2026-01-27 20:00,2026-01-27 23:45,bullish,88720.0,89207.0,87000,1751.0365,2207.0,EOD,455963.53
