entry_time,exit_time,signal,entry_spot,exit_spot,strike,entry_premium,exit_premium,exit_reason,pnl_usd
2026-01-02 16:15,2026-01-02 23:45,bullish,90013.5,89960.5,88000,2090.9313,1960.5,EOD,-130431.3
2026-01-03 12:45,2026-01-03 23:45,bullish,90011.5,90604.5,88000,2156.0107,2604.5,EOD,448489.26
2026-01-05 14:30,2026-01-05 23:45,bullish,93267.0,93832.0,91000,2359.9765,2832.0,EOD,472023.51
2026-01-06 11:00,2026-01-06 16:30,bullish,93752.5,92525.0,92000,2003.1608,942.3362,SL,-1060824.59
2026-01-06 21:15,2026-01-06 23:45,bullish,93498.5,93717.0,91000,2500.1924,2717.0,EOD,216807.6
2026-01-08 02:30,2026-01-08 23:45,bearish,90870.5,91070.5,93000,2470.115,1929.5,EOD,-540615.02
2026-01-10 14:30,2026-01-10 23:45,bearish,90525.5,90479.5,93000,2546.2915,2520.5,EOD,-25791.52
2026-01-12 07:45,2026-01-12 23:45,bearish,91378.0,91262.5,93000,1973.5292,1737.5,EOD,-236029.22
2026-01-14 14:00,2026-01-14 23:45,bullish,95444.5,96917.0,93000,2535.2425,3917.0,EOD,1381757.49
2026-01-18 09:30,2026-01-18 23:45,bullish,95214.0,93623.0,93000,2418.928,625.0275,SL,-1793900.52
2026-01-21 08:30,2026-01-21 15:00,bearish,89005.0,90313.5,91000,2232.3237,1092.0242,SL,-1140299.49
2026-01-21 16:45,2026-01-21 19:15,bearish,87570.5,89625.5,90000,2496.8379,781.4257,SL,-1715412.28
2026-01-22 13:30,2026-01-22 23:45,bearish,89588.0,89528.0,92000,2501.7725,2472.0,EOD,-29772.51
2026-01-23 15:00,2026-01-23 16:30,bearish,88792.5,90242.0,91000,2290.1468,1084.396,SL,-1205750.83
2026-01-25 15:45,2026-01-25 23:45,bearish,88414.0,86641.5,90000,1732.0489,3358.5,EOD,1626451.09
2026-01-27 14:30,2026-01-27 20:15,bearish,87645.5,89117.5,90000,2427.5747,1017.6153,SL,-1409959.47
2026-01-28 09:45,2026-01-28 23:45,bullish,89542.5,89275.0,88000,1840.1375,1275.0002,EOD,-565137.26
2026-02-01 06:45,2026-02-01 23:45,bearish,78270.0,76940.0,80000,1973.9599,3060.0,EOD,1086040.07
2026-02-02 03:00,2026-02-02 09:45,bearish,75850.0,77674.0,78000,2722.7971,1330.2368,SL,-1392560.28
2026-02-03 02:45,2026-02-03 23:45,bearish,77782.0,75732.0,80000,2430.8354,4268.0,EOD,1837164.57
2026-02-05 11:15,2026-02-05 23:45,bearish,70034.5,62885.5,72000,2140.4978,9114.5,EOD,6974002.21
2026-02-09 03:45,2026-02-09 08:30,bullish,71277.0,69775.5,69000,2408.9641,1153.7777,SL,-1255186.45
2026-02-09 16:45,2026-02-09 23:45,bullish,70057.0,70117.5,68000,2083.6454,2117.5,EOD,33854.57
2026-02-10 16:00,2026-02-10 20:00,bullish,69648.5,68735.0,68000,1702.8121,833.3988,SL,-869413.33
2026-02-11 14:00,2026-02-11 14:45,bullish,68428.5,66566.0,66000,2448.8222,847.2256,SL,-1601596.62
2026-02-13 08:45,2026-02-13 23:45,bullish,66683.0,68865.0,65000,1814.877,3865.0,EOD,2050122.96
2026-02-14 07:30,2026-02-14 23:45,bullish,69159.5,69800.0,67000,2255.2777,2800.0,EOD,544722.28
2026-02-15 04:00,2026-02-15 13:15,bullish,70414.0,69007.0,68000,2521.5086,1212.9242,SL,-1308584.39
2026-02-16 09:00,2026-02-16 15:30,bullish,68863.0,67419.5,67000,1977.6579,738.5605,SL,-1239097.46
2026-02-18 11:00,2026-02-18 23:45,bearish,67361.5,66440.0,69000,1760.1389,2560.0,EOD,799861.11
2026-02-20 11:45,2026-02-20 23:45,bearish,67297.5,67985.5,69000,1804.6435,1014.5001,EOD,-790143.41
2026-02-22 12:30,2026-02-22 23:45,bearish,67863.0,67621.0,70000,2188.8483,2379.0,EOD,190151.73
2026-02-27 04:00,2026-02-27 10:45,bullish,67903.5,66582.5,66000,2065.9174,951.6024,SL,-1114315.0
2026-03-01 16:45,2026-03-01 23:45,bearish,66118.5,65747.0,68000,1906.8196,2253.0,EOD,346180.45
